Age,Gender,MaritalStatus,EducationLevel,EducationBackground,JobRole,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TotalWorkExperienceInYears,ExperienceYearsInCurrentRole,PerformanceRating,PerformanceResult
Main labor group,Male,Single,4,Life Sciences,Sales Executive,3,2,3,5,3,3,Meet Expectation
Middle-aged labor group,Female,Married,5,Medical,Research Director,1,3,3,20,0,3,Meet Expectation
Main labor group,Male,Married,3,Life Sciences,Manager R&D,1,4,2,9,7,2,Needs Improvement
Old labor group,Female,Divorced,4,Life Sciences,Manufacturing Director,4,1,1,33,4,3,Meet Expectation
Middle-aged labor group,Female,Married,1,Life Sciences,Manager R&D,1,4,3,10,5,2,Needs Improvement
Young labor group,Female,Single,3,Medical,Research Scientist,1,2,4,1,1,4,Exceed Expectation
Old labor group,Male,Married,3,Life Sciences,Research Director,4,1,3,36,9,3,Meet Expectation
Main labor group,Male,Married,2,Medical,Manager R&D,3,4,2,6,5,3,Meet Expectation
Middle-aged labor group,Male,Married,3,Life Sciences,Research Director,3,2,3,25,7,3,Meet Expectation
Middle-aged labor group,Male,Married,2,Medical,Manager R&D,1,3,4,23,0,3,Meet Expectation
Main labor group,Male,Married,3,Technical Degree,Research Scientist,3,3,2,12,10,3,Meet Expectation
Middle-aged labor group,Male,Single,2,Technical Degree,Laboratory Technician,4,3,2,7,0,3,Meet Expectation
Main labor group,Male,Divorced,3,Life Sciences,Manager R&D,3,2,3,6,0,3,Meet Expectation
Middle-aged labor group,Male,Single,3,Life Sciences,Research Director,4,3,4,25,0,4,Exceed Expectation
Main labor group,Female,Divorced,3,Life Sciences,Research Director,4,2,2,9,7,3,Meet Expectation
Middle-aged labor group,Male,Married,3,Marketing,Manager,2,3,3,26,9,2,Needs Improvement
Young labor group,Male,Married,2,Life Sciences,Research Scientist,4,4,3,1,0,4,Exceed Expectation
Main labor group,Male,Single,2,Life Sciences,Research Scientist,3,2,2,8,5,4,Exceed Expectation
Middle-aged labor group,Female,Single,3,Marketing,Manager,1,1,3,26,10,2,Needs Improvement
Old labor group,Male,Divorced,1,Medical,Healthcare Representative,4,4,3,34,9,3,Meet Expectation
Young labor group,Female,Single,2,Life Sciences,Laboratory Technician,1,3,1,2,2,2,Needs Improvement
Middle-aged labor group,Female,Married,2,Marketing,Manager,4,3,3,26,4,3,Meet Expectation
Main labor group,Female,Single,3,Marketing,Sales Executive,3,4,3,4,2,3,Meet Expectation
Old labor group,Male,Divorced,3,Life Sciences,Manager,4,1,2,31,10,4,Exceed Expectation
Old labor group,Male,Single,4,Medical,Manager R&D,4,4,2,25,7,3,Meet Expectation
Main labor group,Female,Divorced,3,Medical,Laboratory Technician,3,3,4,15,8,3,Meet Expectation
Main labor group,Male,Single,4,Medical,Laboratory Technician,4,3,2,5,2,3,Meet Expectation
Middle-aged labor group,Male,Divorced,2,Life Sciences,Manager R&D,3,4,2,26,9,3,Meet Expectation
Main labor group,Male,Married,3,Life Sciences,Human Resources,3,4,4,14,9,3,Meet Expectation
Main labor group,Male,Married,1,Life Sciences,Research Scientist,3,4,3,4,2,3,Meet Expectation
Middle-aged labor group,Female,Married,4,Medical,Research Scientist,2,4,3,18,0,3,Meet Expectation
Middle-aged labor group,Female,Single,4,Marketing,Sales Executive,4,4,4,23,7,3,Meet Expectation
Main labor group,Female,Single,4,Life Sciences,Manufacturing Director,3,4,3,18,14,3,Meet Expectation
Main labor group,Male,Married,3,Life Sciences,Laboratory Technician,4,2,3,2,2,3,Meet Expectation
Old labor group,Female,Single,2,Medical,Laboratory Technician,2,2,2,8,0,3,Meet Expectation
Main labor group,Female,Single,2,Medical,Manufacturing Director,3,3,3,10,4,3,Meet Expectation
Main labor group,Female,Divorced,3,Technical Degree,Laboratory Technician,2,1,3,10,7,2,Needs Improvement
Main labor group,Male,Single,3,Technical Degree,Research Scientist,4,2,2,5,2,3,Meet Expectation
Main labor group,Female,Single,3,Medical,Research Scientist,4,4,2,2,2,3,Meet Expectation
Main labor group,Male,Married,3,Medical,Sales Executive,3,3,4,10,7,3,Meet Expectation
Middle-aged labor group,Female,Single,3,Medical,Manager,2,3,3,22,0,4,Exceed Expectation
Main labor group,Female,Divorced,4,Medical,Manager,3,4,3,21,9,3,Meet Expectation
Old labor group,Male,Divorced,4,Life Sciences,Research Scientist,1,4,3,2,2,2,Needs Improvement
Main labor group,Male,Married,2,Life Sciences,Manager R&D,4,1,3,10,4,3,Meet Expectation
Main labor group,Female,Married,4,Technical Degree,Healthcare Representative,4,1,3,10,7,3,Meet Expectation
Middle-aged labor group,Female,Single,2,Life Sciences,Human Resources,4,3,4,10,6,3,Meet Expectation
Main labor group,Female,Married,3,Life Sciences,Manager R&D,3,1,3,10,8,3,Meet Expectation
Middle-aged labor group,Female,Married,3,Life Sciences,Manager R&D,4,2,3,25,2,3,Meet Expectation
Main labor group,Male,Single,4,Marketing,Sales Executive,4,3,3,9,4,3,Meet Expectation
Old labor group,Male,Single,3,Life Sciences,Sales Executive,2,3,2,10,7,2,Needs Improvement
Main labor group,Female,Divorced,4,Life Sciences,Sales Executive,4,1,2,10,8,3,Meet Expectation
Middle-aged labor group,Male,Single,2,Medical,Sales Executive,3,1,3,19,2,3,Meet Expectation
Old labor group,Female,Married,2,Medical,Manager,4,4,3,23,9,3,Meet Expectation
Old labor group,Male,Single,4,Life Sciences,Manager,4,1,3,36,3,3,Meet Expectation
Main labor group,Male,Divorced,2,Life Sciences,Research Scientist,3,2,3,6,2,3,Meet Expectation
Main labor group,Male,Divorced,3,Life Sciences,Healthcare Representative,4,4,2,10,7,3,Meet Expectation
Middle-aged labor group,Female,Divorced,3,Marketing,Sales Executive,3,4,3,10,3,3,Meet Expectation
Main labor group,Male,Single,4,Life Sciences,Research Scientist,3,2,3,9,6,3,Meet Expectation
Old labor group,Male,Divorced,3,Life Sciences,Manager,3,2,3,33,9,3,Meet Expectation
Main labor group,Female,Divorced,2,Life Sciences,Sales Executive,2,4,3,11,7,2,Needs Improvement
Main labor group,Female,Single,2,Medical,Sales Executive,3,4,4,10,8,3,Meet Expectation
Main labor group,Male,Married,1,Medical,Laboratory Technician,4,3,2,7,2,3,Meet Expectation
Old labor group,Female,Married,4,Medical,Manufacturing Director,3,4,2,31,9,3,Meet Expectation
Main labor group,Male,Married,4,Life Sciences,Laboratory Technician,2,3,3,7,2,3,Meet Expectation
Main labor group,Female,Married,3,Marketing,Sales Executive,1,4,2,17,7,2,Needs Improvement
Middle-aged labor group,Male,Single,3,Life Sciences,Manufacturing Director,4,3,3,11,9,3,Meet Expectation
Main labor group,Female,Married,3,Medical,Sales Representative,3,2,3,5,0,3,Meet Expectation
Old labor group,Female,Single,2,Technical Degree,Manager R&D,4,2,2,29,2,3,Meet Expectation
Young labor group,Female,Single,3,Life Sciences,Manager R&D,4,3,4,0,0,4,Exceed Expectation
Main labor group,Female,Married,3,Medical,Laboratory Technician,4,2,3,10,7,3,Meet Expectation
Main labor group,Male,Single,1,Life Sciences,Sales Executive,4,2,3,8,2,4,Exceed Expectation
Old labor group,Male,Single,4,Marketing,Sales Executive,1,3,2,24,7,2,Needs Improvement
Old labor group,Male,Married,3,Life Sciences,Manager R&D,4,1,3,33,16,3,Meet Expectation
Main labor group,Female,Divorced,1,Technical Degree,Research Scientist,1,3,3,5,4,3,Meet Expectation
Main labor group,Female,Divorced,1,Medical,Manager R&D,2,2,3,15,11,2,Needs Improvement
Main labor group,Male,Married,3,Medical,Laboratory Technician,2,1,3,10,7,2,Needs Improvement
Main labor group,Female,Single,3,Life Sciences,Sales Representative,3,3,4,3,0,3,Meet Expectation
Main labor group,Male,Divorced,3,Life Sciences,Research Scientist,4,4,3,4,2,3,Meet Expectation
Main labor group,Female,Single,4,Technical Degree,Healthcare Representative,3,4,4,14,11,3,Meet Expectation
Main labor group,Male,Married,3,Life Sciences,Sales Executive,3,3,3,5,3,3,Meet Expectation
Main labor group,Male,Married,4,Life Sciences,Sales Executive,1,4,4,8,4,2,Needs Improvement
Old labor group,Male,Married,3,Marketing,Sales Executive,2,2,3,14,2,2,Needs Improvement
Middle-aged labor group,Female,Divorced,3,Life Sciences,Manager R&D,4,1,2,12,2,3,Meet Expectation
Main labor group,Male,Married,1,Life Sciences,Sales Executive,2,1,4,8,4,2,Needs Improvement
Main labor group,Male,Married,1,Marketing,Sales Executive,3,1,2,4,2,3,Meet Expectation
Main labor group,Male,Married,2,Life Sciences,Manager R&D,3,2,3,13,4,4,Exceed Expectation
Main labor group,Male,Married,1,Life Sciences,Sales Executive,1,2,2,6,2,2,Needs Improvement
Old labor group,Female,Married,2,Medical,Manufacturing Director,4,2,2,24,3,3,Meet Expectation
Middle-aged labor group,Female,Single,3,Medical,Research Scientist,1,1,1,20,7,2,Needs Improvement
Main labor group,Female,Married,3,Marketing,Sales Executive,4,4,3,6,2,3,Meet Expectation
Main labor group,Female,Single,4,Life Sciences,Research Scientist,4,4,3,8,2,3,Meet Expectation
Main labor group,Male,Single,1,Medical,Research Scientist,1,4,3,5,3,3,Meet Expectation
Middle-aged labor group,Female,Married,3,Human Resources,Manager,3,3,3,21,7,3,Meet Expectation
Main labor group,Female,Single,3,Medical,Manager R&D,1,1,3,8,2,3,Meet Expectation
Main labor group,Male,Single,2,Life Sciences,Manufacturing Director,3,3,3,10,2,3,Meet Expectation
Main labor group,Male,Married,3,Technical Degree,Laboratory Technician,1,2,2,7,2,3,Meet Expectation
Main labor group,Male,Single,3,Other,Human Resources,2,1,2,10,9,3,Meet Expectation
Middle-aged labor group,Male,Single,2,Life Sciences,Manager R&D,1,1,3,20,3,3,Meet Expectation
Old labor group,Female,Single,3,Medical,Research Director,4,4,2,29,7,3,Meet Expectation
Old labor group,Female,Married,3,Medical,Manager R&D,4,3,3,32,8,4,Exceed Expectation
Main labor group,Female,Single,4,Marketing,Sales Executive,1,4,3,15,4,3,Meet Expectation
Main labor group,Female,Single,4,Life Sciences,Sales Representative,2,2,3,1,0,3,Meet Expectation
Main labor group,Female,Divorced,4,Marketing,Sales Executive,4,2,3,8,2,3,Meet Expectation
Main labor group,Female,Single,5,Life Sciences,Research Director,1,3,4,9,2,3,Meet Expectation
Main labor group,Male,Divorced,4,Other,Research Scientist,4,3,3,10,3,3,Meet Expectation
Main labor group,Female,Single,3,Life Sciences,Research Scientist,1,3,4,1,0,3,Meet Expectation
Main labor group,Male,Married,1,Life Sciences,Manager R&D,2,2,4,6,0,3,Meet Expectation
Main labor group,Male,Single,4,Life Sciences,Laboratory Technician,1,3,2,10,4,2,Needs Improvement
Middle-aged labor group,Male,Married,3,Technical Degree,Research Scientist,1,3,2,17,5,2,Needs Improvement
Main labor group,Male,Married,2,Life Sciences,Sales Representative,1,1,3,6,2,2,Needs Improvement
Main labor group,Male,Single,2,Technical Degree,Manager R&D,3,1,1,7,5,3,Meet Expectation
Old labor group,Female,Married,2,Life Sciences,Manager R&D,1,4,4,5,2,5,Outstanding
Young labor group,Female,Married,1,Medical,Sales Executive,4,3,3,5,4,3,Meet Expectation
Main labor group,Female,Married,3,Life Sciences,Laboratory Technician,4,1,2,7,4,3,Meet Expectation
Middle-aged labor group,Male,Married,5,Medical,Manager R&D,2,1,2,7,2,3,Meet Expectation
Main labor group,Male,Divorced,4,Other,Laboratory Technician,3,3,4,11,7,3,Meet Expectation
Main labor group,Male,Divorced,2,Life Sciences,Sales Executive,1,1,3,13,7,2,Needs Improvement
Main labor group,Female,Single,3,Life Sciences,Laboratory Technician,1,2,4,11,0,4,Exceed Expectation
Main labor group,Female,Single,5,Life Sciences,Manager R&D,3,1,3,10,8,3,Meet Expectation
Middle-aged labor group,Male,Divorced,3,Medical,Manager R&D,2,2,3,24,7,3,Meet Expectation
Main labor group,Female,Single,2,Medical,Human Resources,4,4,3,8,2,3,Meet Expectation
Middle-aged labor group,Male,Married,3,Technical Degree,Manager R&D,2,4,4,10,1,3,Meet Expectation
Main labor group,Female,Married,4,Technical Degree,Human Resources,1,4,3,2,2,2,Needs Improvement
Main labor group,Male,Divorced,1,Medical,Research Director,4,3,3,16,8,3,Meet Expectation
Middle-aged labor group,Male,Single,3,Life Sciences,Laboratory Technician,3,4,3,7,2,3,Meet Expectation
Middle-aged labor group,Male,Married,4,Technical Degree,Manager R&D,1,2,2,20,2,2,Needs Improvement
Main labor group,Male,Divorced,3,Medical,Research Scientist,3,3,4,8,1,4,Exceed Expectation
Middle-aged labor group,Male,Single,3,Life Sciences,Manager R&D,4,3,2,6,2,3,Meet Expectation
Main labor group,Male,Married,3,Medical,Sales Executive,4,1,3,5,3,3,Meet Expectation
Main labor group,Male,Single,3,Other,Sales Executive,4,4,3,15,9,3,Meet Expectation
Main labor group,Male,Married,1,Life Sciences,Sales Executive,4,3,2,4,1,3,Meet Expectation
Middle-aged labor group,Female,Single,2,Medical,Laboratory Technician,1,3,3,12,9,2,Needs Improvement
Middle-aged labor group,Female,Married,5,Marketing,Sales Executive,1,3,2,11,0,3,Meet Expectation
Main labor group,Male,Divorced,3,Technical Degree,Research Scientist,3,2,2,1,0,3,Meet Expectation
Old labor group,Male,Married,2,Life Sciences,Research Scientist,2,1,2,13,9,2,Needs Improvement
Middle-aged labor group,Male,Divorced,4,Life Sciences,Manager R&D,3,2,3,29,7,3,Meet Expectation
Main labor group,Male,Divorced,3,Medical,Research Director,2,4,2,16,8,2,Needs Improvement
Main labor group,Male,Married,3,Technical Degree,Sales Representative,1,4,4,5,2,2,Needs Improvement
Main labor group,Female,Single,4,Medical,Sales Executive,1,3,4,16,9,2,Needs Improvement
Main labor group,Male,Married,1,Life Sciences,Sales Representative,4,1,3,1,0,3,Meet Expectation
Young labor group,Female,Married,2,Life Sciences,Sales Representative,4,3,3,1,0,3,Meet Expectation
Middle-aged labor group,Male,Single,1,Medical,Manager R&D,2,2,2,16,2,2,Needs Improvement
Main labor group,Male,Divorced,3,Life Sciences,Sales Executive,3,3,3,10,7,3,Meet Expectation
Old labor group,Male,Married,4,Life Sciences,Manager R&D,4,2,3,4,2,3,Meet Expectation
Main labor group,Female,Married,4,Medical,Manager R&D,1,4,3,8,4,3,Meet Expectation
Middle-aged labor group,Female,Married,3,Medical,Sales Executive,3,3,2,11,4,3,Meet Expectation
Main labor group,Male,Single,2,Medical,Laboratory Technician,3,3,2,8,0,3,Meet Expectation
Main labor group,Male,Divorced,3,Life Sciences,Manager R&D,1,4,1,1,0,3,Meet Expectation
Main labor group,Male,Single,3,Life Sciences,Sales Executive,3,4,3,5,2,3,Meet Expectation
Middle-aged labor group,Female,Married,2,Medical,Laboratory Technician,3,1,3,10,2,4,Exceed Expectation
Main labor group,Female,Married,1,Life Sciences,Laboratory Technician,4,3,3,4,2,3,Meet Expectation
Main labor group,Male,Married,1,Life Sciences,Manager R&D,3,2,2,8,6,3,Meet Expectation
Main labor group,Male,Single,5,Life Sciences,Healthcare Representative,4,1,3,14,0,3,Meet Expectation
Main labor group,Male,Single,3,Medical,Manager,3,2,4,10,2,3,Meet Expectation
Old labor group,Female,Divorced,4,Medical,Manager R&D,2,1,3,26,9,2,Needs Improvement
Main labor group,Male,Single,4,Technical Degree,Research Scientist,1,3,1,11,7,3,Meet Expectation
Middle-aged labor group,Female,Married,3,Life Sciences,Manager,3,4,4,23,12,3,Meet Expectation
Main labor group,Female,Single,3,Life Sciences,Manager R&D,4,4,1,11,8,3,Meet Expectation
Young labor group,Male,Single,1,Life Sciences,Laboratory Technician,1,2,3,5,3,2,Needs Improvement
Main labor group,Male,Single,4,Life Sciences,Laboratory Technician,4,2,1,15,4,3,Meet Expectation
Main labor group,Male,Married,3,Technical Degree,Sales Executive,4,4,3,10,9,3,Meet Expectation
Middle-aged labor group,Male,Single,5,Medical,Research Director,3,4,3,32,6,3,Meet Expectation
Middle-aged labor group,Male,Married,3,Medical,Manager R&D,3,2,3,4,0,3,Meet Expectation
Main labor group,Male,Married,3,Medical,Research Scientist,1,1,3,10,8,2,Needs Improvement
Main labor group,Female,Married,1,Other,Healthcare Representative,3,3,3,9,7,3,Meet Expectation
Main labor group,Male,Single,3,Life Sciences,Manufacturing Director,4,4,3,5,3,3,Meet Expectation
Middle-aged labor group,Male,Married,3,Technical Degree,Research Scientist,4,4,3,8,4,4,Exceed Expectation
Middle-aged labor group,Male,Married,3,Life Sciences,Healthcare Representative,4,3,1,24,8,3,Meet Expectation
Main labor group,Male,Married,2,Medical,Sales Executive,1,4,4,9,4,2,Needs Improvement
Main labor group,Male,Married,4,Life Sciences,Laboratory Technician,2,2,3,15,14,2,Needs Improvement
Main labor group,Male,Single,2,Medical,Manager,3,4,3,21,7,4,Exceed Expectation
Young labor group,Male,Divorced,2,Technical Degree,Laboratory Technician,3,2,3,2,1,3,Meet Expectation
Main labor group,Male,Divorced,2,Life Sciences,Manager R&D,4,3,3,8,2,3,Meet Expectation
Middle-aged labor group,Male,Divorced,4,Technical Degree,Healthcare Representative,1,1,3,10,8,2,Needs Improvement
Main labor group,Female,Married,4,Life Sciences,Sales Representative,2,1,3,6,3,2,Needs Improvement
Main labor group,Male,Single,4,Life Sciences,Sales Representative,3,4,2,7,2,4,Exceed Expectation
Middle-aged labor group,Female,Divorced,4,Life Sciences,Sales Executive,3,3,3,18,7,3,Meet Expectation
Main labor group,Male,Married,4,Life Sciences,Sales Executive,1,4,1,8,2,2,Needs Improvement
Main labor group,Male,Married,3,Life Sciences,Sales Executive,2,4,3,10,8,2,Needs Improvement
Main labor group,Male,Married,4,Human Resources,Human Resources,3,3,3,10,3,3,Meet Expectation
Main labor group,Male,Married,4,Technical Degree,Sales Executive,3,2,3,9,2,3,Meet Expectation
Main labor group,Female,Divorced,3,Life Sciences,Laboratory Technician,1,4,3,1,0,3,Meet Expectation
Old labor group,Female,Married,5,Technical Degree,Manufacturing Director,3,2,3,34,7,3,Meet Expectation
Main labor group,Male,Married,3,Medical,Manufacturing Director,3,1,3,7,2,3,Meet Expectation
Middle-aged labor group,Female,Married,4,Other,Manager R&D,3,4,2,10,2,3,Meet Expectation
Main labor group,Male,Single,4,Medical,Research Scientist,1,3,1,1,0,3,Meet Expectation
Old labor group,Male,Married,5,Marketing,Manager,3,3,3,36,6,4,Exceed Expectation
Main labor group,Male,Married,4,Life Sciences,Manager R&D,2,2,2,9,2,2,Needs Improvement
Main labor group,Male,Married,3,Life Sciences,Sales Executive,3,4,3,10,8,3,Meet Expectation
Main labor group,Female,Single,4,Life Sciences,Sales Executive,2,1,3,15,0,3,Meet Expectation
Main labor group,Male,Single,1,Medical,Manager R&D,2,4,3,10,9,2,Needs Improvement
Main labor group,Female,Single,4,Medical,Healthcare Representative,1,3,3,10,2,3,Meet Expectation
Main labor group,Male,Married,3,Medical,Sales Executive,4,1,3,11,6,3,Meet Expectation
Main labor group,Male,Divorced,1,Life Sciences,Finance Manager,1,4,4,6,4,2,Needs Improvement
Middle-aged labor group,Male,Married,3,Marketing,Manager,3,3,3,27,0,3,Meet Expectation
Young labor group,Male,Married,3,Technical Degree,Finance Manager,4,4,3,4,2,3,Meet Expectation
Main labor group,Male,Married,3,Life Sciences,Finance Manager,2,4,2,10,9,2,Needs Improvement
Main labor group,Male,Married,4,Technical Degree,Finance Manager,4,2,2,8,2,3,Meet Expectation
Middle-aged labor group,Male,Divorced,3,Technical Degree,Finance Manager,4,3,3,8,4,3,Meet Expectation
Main labor group,Male,Married,3,Medical,Finance Manager,3,3,3,1,1,3,Meet Expectation
Young labor group,Female,Married,2,Other,Finance Manager,2,2,2,4,2,2,Needs Improvement
Middle-aged labor group,Male,Married,5,Medical,Finance Manager,2,3,3,32,8,2,Needs Improvement
Main labor group,Female,Married,4,Other,Finance Manager,2,4,3,6,2,3,Meet Expectation
Middle-aged labor group,Female,Divorced,3,Medical,Finance Manager,2,4,2,23,7,2,Needs Improvement
Main labor group,Male,Married,3,Medical,Finance Manager,2,2,2,6,4,2,Needs Improvement
Middle-aged labor group,Female,Single,5,Medical,Finance Manager,3,1,3,10,7,3,Meet Expectation
Middle-aged labor group,Male,Married,3,Marketing,Sales Executive,1,1,3,10,7,2,Needs Improvement
Main labor group,Male,Single,4,Other,Sales Executive,4,4,3,10,2,3,Meet Expectation
Main labor group,Female,Married,4,Life Sciences,Finance Manager,3,2,3,7,2,3,Meet Expectation
Main labor group,Male,Divorced,4,Life Sciences,Finance Manager,3,1,3,9,7,3,Meet Expectation
Middle-aged labor group,Female,Married,4,Life Sciences,Finance Manager,3,4,2,10,6,3,Meet Expectation
Main labor group,Male,Divorced,3,Other,Finance Manager,4,1,3,7,7,3,Meet Expectation
Main labor group,Male,Married,5,Life Sciences,Finance Manager,2,4,3,16,15,2,Needs Improvement
Main labor group,Female,Divorced,3,Medical,Finance Manager,2,2,2,6,3,3,Meet Expectation
Young labor group,Male,Single,1,Medical,Finance Manager,3,3,3,3,2,3,Meet Expectation
Young labor group,Female,Single,2,Medical,Sales Representative,2,3,4,0,0,3,Meet Expectation
Middle-aged labor group,Female,Married,4,Life Sciences,Manager,4,3,3,27,2,3,Meet Expectation
Main labor group,Male,Divorced,2,Medical,Finance Manager,3,4,3,11,8,3,Meet Expectation
Main labor group,Female,Married,4,Life Sciences,Finance Manager,3,4,3,15,11,3,Meet Expectation
Main labor group,Male,Married,3,Life Sciences,Finance Manager,3,1,2,9,3,3,Meet Expectation
Main labor group,Female,Single,3,Medical,Finance Manager,1,4,1,10,2,2,Needs Improvement
Main labor group,Female,Married,2,Medical,Finance Manager,4,4,4,10,4,3,Meet Expectation
Main labor group,Female,Married,3,Medical,Finance Manager,2,1,1,8,4,2,Needs Improvement
Main labor group,Female,Single,3,Life Sciences,Finance Manager,3,4,2,18,2,3,Meet Expectation
Middle-aged labor group,Male,Married,5,Human Resources,Human Resources,1,3,3,14,7,3,Meet Expectation
Main labor group,Male,Divorced,2,Medical,Sales Executive,1,4,2,7,2,2,Needs Improvement
Young labor group,Female,Single,1,Technical Degree,Finance Manager,1,3,3,6,3,2,Needs Improvement
Main labor group,Female,Married,3,Medical,Finance Manager,2,1,3,5,2,3,Meet Expectation
Main labor group,Male,Single,3,Medical,Finance Manager,4,3,2,6,2,3,Meet Expectation
Main labor group,Male,Divorced,1,Life Sciences,Finance Manager,4,3,3,7,7,3,Meet Expectation
Main labor group,Male,Married,3,Medical,Finance Manager,4,3,3,7,4,4,Exceed Expectation
Middle-aged labor group,Female,Married,4,Other,Finance Manager,1,2,3,27,2,2,Needs Improvement
Middle-aged labor group,Female,Divorced,5,Life Sciences,Finance Manager,4,3,3,19,11,3,Meet Expectation
Young labor group,Female,Single,3,Medical,Sales Representative,3,1,3,2,2,3,Meet Expectation
Main labor group,Female,Divorced,3,Life Sciences,Finance Manager,4,3,3,11,8,3,Meet Expectation
Main labor group,Male,Single,3,Life Sciences,Finance Manager,1,3,3,15,3,2,Needs Improvement
Middle-aged labor group,Female,Married,1,Life Sciences,Finance Manager,3,2,3,30,11,3,Meet Expectation
Main labor group,Female,Married,4,Medical,Finance Manager,4,3,3,4,2,3,Meet Expectation
Main labor group,Male,Divorced,2,Life Sciences,Finance Manager,4,1,3,13,4,4,Exceed Expectation
Old labor group,Female,Married,5,Medical,Finance Manager,2,3,3,36,8,2,Needs Improvement
Middle-aged labor group,Male,Married,2,Life Sciences,Finance Manager,3,1,3,14,10,4,Exceed Expectation
Main labor group,Male,Single,4,Other,Sales Executive,4,1,4,13,9,4,Exceed Expectation
Main labor group,Male,Divorced,3,Medical,Sales Executive,1,2,2,10,0,3,Meet Expectation
Main labor group,Male,Divorced,4,Medical,Sales Executive,4,3,3,6,2,3,Meet Expectation
Main labor group,Male,Divorced,3,Medical,Finance Manager,4,3,2,10,5,3,Meet Expectation
Main labor group,Female,Married,4,Life Sciences,Sales Executive,1,1,3,10,0,3,Meet Expectation
Middle-aged labor group,Female,Divorced,3,Medical,Finance Manager,4,2,2,17,2,3,Meet Expectation
Young labor group,Male,Single,1,Life Sciences,Sales Representative,4,1,3,2,2,3,Meet Expectation
Main labor group,Female,Divorced,3,Life Sciences,Sales Executive,3,3,3,7,5,4,Exceed Expectation
Main labor group,Male,Married,4,Life Sciences,Finance Manager,1,2,2,10,2,3,Meet Expectation
Middle-aged labor group,Female,Divorced,3,Life Sciences,Human Resources,3,1,3,8,2,3,Meet Expectation
Young labor group,Male,Single,1,Medical,Finance Manager,4,1,3,5,4,3,Meet Expectation
Main labor group,Female,Married,2,Medical,Finance Manager,4,4,2,7,0,3,Meet Expectation
Old labor group,Male,Married,4,Medical,Finance Manager,2,3,3,11,3,2,Needs Improvement
Middle-aged labor group,Female,Married,2,Medical,Sales Representative,4,3,3,19,7,3,Meet Expectation
Main labor group,Male,Single,4,Life Sciences,Finance Manager,4,1,3,1,0,3,Meet Expectation
Main labor group,Male,Single,3,Medical,Finance Manager,4,3,3,7,7,4,Exceed Expectation
Old labor group,Male,Divorced,3,Technical Degree,Finance Manager,1,4,3,8,2,2,Needs Improvement
Main labor group,Male,Married,2,Medical,Manager R&D,2,3,4,15,10,2,Needs Improvement
Old labor group,Male,Divorced,4,Medical,Healthcare Representative,3,3,4,19,0,4,Exceed Expectation
Main labor group,Male,Divorced,4,Medical,Sales Executive,3,3,2,6,3,3,Meet Expectation
Main labor group,Female,Married,3,Life Sciences,Research Scientist,2,2,3,10,9,2,Needs Improvement
Middle-aged labor group,Female,Married,3,Life Sciences,Healthcare Representative,3,2,3,9,7,3,Meet Expectation
Middle-aged labor group,Male,Married,3,Medical,Sales Executive,4,1,3,10,9,3,Meet Expectation
Main labor group,Female,Married,4,Medical,Manager R&D,4,3,3,9,3,3,Meet Expectation
Main labor group,Female,Single,4,Life Sciences,Sales Representative,3,3,2,17,7,3,Meet Expectation
Middle-aged labor group,Male,Married,1,Life Sciences,Manager R&D,3,4,2,25,15,4,Exceed Expectation
Main labor group,Male,Married,4,Medical,Laboratory Technician,4,3,4,3,2,3,Meet Expectation
Middle-aged labor group,Female,Single,2,Technical Degree,Manager R&D,4,3,3,21,6,3,Meet Expectation
Main labor group,Male,Married,4,Life Sciences,Laboratory Technician,2,4,4,6,2,3,Meet Expectation
Middle-aged labor group,Male,Married,3,Human Resources,Human Resources,3,2,3,10,2,3,Meet Expectation
Main labor group,Female,Married,2,Life Sciences,Manufacturing Director,2,2,3,18,0,3,Meet Expectation
Young labor group,Male,Divorced,1,Medical,Laboratory Technician,2,2,4,6,2,2,Needs Improvement
Middle-aged labor group,Male,Single,4,Life Sciences,Healthcare Representative,3,4,3,19,7,3,Meet Expectation
Main labor group,Male,Married,1,Life Sciences,Research Scientist,2,2,2,10,0,3,Meet Expectation
Middle-aged labor group,Male,Married,4,Marketing,Sales Executive,3,4,1,4,0,3,Meet Expectation
Middle-aged labor group,Male,Divorced,3,Life Sciences,Sales Executive,3,2,2,13,6,3,Meet Expectation
Main labor group,Male,Divorced,5,Marketing,Sales Executive,2,2,3,16,2,2,Needs Improvement
Main labor group,Male,Single,2,Life Sciences,Sales Executive,1,2,3,10,0,3,Meet Expectation
Main labor group,Female,Single,1,Technical Degree,Manufacturing Director,4,4,2,9,4,4,Exceed Expectation
Main labor group,Male,Married,3,Life Sciences,Laboratory Technician,4,4,3,9,8,3,Meet Expectation
Main labor group,Male,Married,3,Life Sciences,Sales Executive,4,3,1,10,3,3,Meet Expectation
Main labor group,Male,Single,4,Medical,Manager,2,2,2,21,8,2,Needs Improvement
Middle-aged labor group,Female,Married,3,Life Sciences,Human Resources,3,3,4,9,0,4,Exceed Expectation
Main labor group,Female,Single,4,Technical Degree,Manager R&D,4,4,3,10,7,3,Meet Expectation
Young labor group,Male,Married,3,Medical,Human Resources,1,4,3,3,2,2,Needs Improvement
Main labor group,Female,Divorced,3,Human Resources,Human Resources,3,3,2,6,2,3,Meet Expectation
